pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_minus,etalepton,1,0.0,0.21,0.6845953464508057,0.012723713181912899,0.0005415081977844238,0.0006337303784675896,0.014439404010772705,0.0026477575302124023,0.019444657489657402
Pythia_minus,etalepton,2,0.21,0.42,0.668344259262085,0.01249613706022501,0.0009938478469848633,0.0007730722427368164,0.008559942245483398,0.004365503787994385,0.015813572332262993
Pythia_minus,etalepton,3,0.42,0.63,0.6601495146751404,0.012643374502658844,0.0008342862129211426,0.00047507669660262764,0.011893153190612793,0.0023482441902160645,0.017542462795972824
Pythia_minus,etalepton,4,0.63,0.84,0.6571298837661743,0.01293784286826849,0.0004870891571044922,0.00026098621310666203,0.004737913608551025,0.002508997917175293,0.014015564695000648
Pythia_minus,etalepton,5,0.84,1.05,0.6652040481567383,0.0134269492700696,0.0006530284881591797,0.00018351172911934555,0.008633255958557129,0.0020599365234375,0.016109609976410866
Pythia_minus,etalepton,6,1.05,1.37,0.6476293802261353,0.011142557486891747,0.0004178285598754883,0.0008614022517576814,0.005742371082305908,0.0031169652938842773,0.012952353805303574
Pythia_minus,etalepton,7,1.37,1.52,0.6625311374664307,0.01787867769598961,0.0006389617919921875,0.000440259842434898,0.01681649684906006,0.0012664198875427246,0.02458958327770233
Pythia_minus,etalepton,8,1.52,1.74,0.6520974040031433,0.01522041019052267,3.552436828613281e-05,0.0008192534442059696,0.004764556884765625,0.0022446513175964355,0.01612677238881588
Pythia_minus,etalepton,9,1.74,1.95,0.6111450791358948,0.015981050208210945,0.00027179718017578125,0.000849623407702893,0.01718837022781372,0.004527628421783447,0.023919222876429558
Pythia_minus,etalepton,10,1.95,2.18,0.6836867332458496,0.018701525405049324,0.0002734661102294922,0.0019069068366661668,0.016681134700775146,0.002841770648956299,0.025294151157140732
Pythia_minus,etalepton,11,2.18,2.5,0.65313321352005,0.017580218613147736,0.0019034743309020996,0.0038121347315609455,0.0075789690017700195,0.0008429288864135742,0.01963086798787117
